id	title	description	availability	availability date	expiration date	link	mobile link	image link	price	sale price	sale price effective date	identifier exists	gtin	mpn	brand	product highlight	product detail	additional image link	condition	adult	color	size	size type	size system	gender	material	pattern	age group	multipack	is bundle	unit pricing measure	unit pricing base measure	energy efficiency class	min energy efficiency class	min energy efficiency class	item group id	sell on google quantity
AMRIT-DAIRY-005	Amrit Milk Organic A2 Cow Ghee - 1 kg	Traditional Bilona method A2 Cow Ghee. Pure gold for health. Made using traditional Bilona hand-churning method. 100% A2 beta-casein protein from Desi Gir cows. Rich golden color and aromatic fragrance. Chemical-free | Preservative-free | Grain-fed cows	in stock			https://amritmilkorganic.com/products/a2-cow-ghee-1kg		https://amritmilkorganic.com/assets/img/products/amrit_ghee_premium.png	2500 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-005-SM	Amrit Milk Organic A2 Cow Ghee - 500ml	Traditional Bilona method A2 Cow Ghee. Pure gold for health. Made using traditional Bilona hand-churning method. 100% A2 beta-casein protein from Desi Gir cows. Compact 500ml size perfect for trying or gifting. Chemical-free | Preservative-free | Grain-fed cows	in stock			https://amritmilkorganic.com/products/a2-cow-ghee-500ml		https://amritmilkorganic.com/assets/img/products/amrit_ghee_premium.png	1350 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-006	Amrit Organic Tulsi Oil - 10 ml	Sacred Tulsi essential oil. Cold-pressed & distilled. Pure steam-distilled Tulsi (Holy Basil) oil. Therapeutic grade essential oil. Potent adaptogenic properties. 100% natural | No synthetic additives	in stock			https://amritmilkorganic.com/products/tulsi-oil-10ml		https://amritmilkorganic.com/assets/img/products/amrit_oil_tulsi_rollon.png	300 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-007	Amrit Organic Lemongrass Oil - 10 ml	Refreshing Lemongrass essential oil. Cold-pressed & distilled. Pure steam-distilled Lemongrass oil. Fresh, citrusy, uplifting aroma. Therapeutic grade essential oil. 100% natural | No synthetic fragrances	in stock			https://amritmilkorganic.com/products/lemongrass-oil-10ml		https://amritmilkorganic.com/assets/img/products/amrit_lemongrass_oil_v6.png	400 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-008	Amrit Organic Mint Oil - 10 ml	Cooling Mint essential oil. Cold-pressed & distilled. Pure steam-distilled Peppermint/Mentha oil. Intensely cooling and refreshing. Therapeutic grade essential oil. 100% natural | No synthetic menthol	in stock			https://amritmilkorganic.com/products/menthol-oil-10ml		https://amritmilkorganic.com/assets/img/products/amrit_mint_oil_v6.png	250 INR			no			Amrit Milk				new	no																	
AMRIT-HONEY-001	Amrit Organic Multiflora Honey - 1 kg	Pure Multiflora honey collected from diverse forest flowers. 100% raw, unprocessed, unpasteurized honey. Collected from diverse forest wildflowers. Rich amber color with complex flavor profile. No added sugar | No heating | Single-origin	in stock			https://amritmilkorganic.com/products/multiflora-honey-1kg		https://amritmilkorganic.com/assets/img/products/amrit_honey_premium_v7.png	1200 INR			no			Amrit Milk				new	no																	
AMRIT-HONEY-002	Amrit Organic Jamun Honey - 1 kg	Medicinal honey from Jamun flower nectar. Good for diabetics. 100% raw, unprocessed Jamun (Indian Blackberry) honey. Low glycemic index - Diabetes-friendly. Dark purple-black color with unique tangy flavor. No added sugar | No heating | Single-origin	in stock			https://amritmilkorganic.com/products/jamun-honey-1kg		https://amritmilkorganic.com/assets/img/products/amrit_jamun_honey_v3.png	1200 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-001	Amrit Organic Yellow Mustard Oil - 1 L	Cold-pressed Yellow Mustard oil (Kacchi Ghani). Traditional wood-pressed (Kacchi Ghani) method. 100% pure yellow mustard seeds. Rich, pungent aroma with golden color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/yellow-mustard-oil-1l		https://amritmilkorganic.com/assets/img/products/yellow_mustard_oil.png	380 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-002	Amrit Organic Black Mustard Oil - 1 L	Cold-pressed Black Mustard oil, pungent and pure. Traditional wood-pressed (Kacchi Ghani) method. 100% pure black mustard seeds. Intense pungent flavor with dark amber color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/black-mustard-oil-1l		https://amritmilkorganic.com/assets/img/products/black_mustard_oil.png	350 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-003	Amrit Organic Groundnut Oil - 1 L	Cold-pressed Groundnut oil, rich in flavor. Traditional wood-pressed (Kacchi Ghani) method. 100% pure groundnut (peanut) kernels. Mild, nutty flavor with golden color. High smoke point | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/groundnut-oil-1l-premium		https://amritmilkorganic.com/assets/img/products/amrit_oil_groundnut_1l_v2.png	600 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-004	Amrit Organic Coconut Oil - 1 L	Pure cold-pressed Coconut oil for cooking and care. Traditional wood-pressed (Kacchi Ghani) virgin coconut oil. 100% pure coconut kernel (copra). Natural coconut aroma with pristine white color. No heat treatment | No chemicals | Single-pressed	in stock			https://amritmilkorganic.com/products/coconut-oil-1l-premium		https://amritmilkorganic.com/assets/img/products/coconut_oil.png	1000 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-005	Amrit Organic Sesame (Til) Oil - 1 L	Cold-pressed Sesame (Til) oil. Traditional wood-pressed (Kacchi Ghani) method. 100% pure sesame seeds (white til). Rich, nutty aroma with golden color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/sesame-til-oil-1l		https://amritmilkorganic.com/assets/img/products/sesame_oil.png	800 INR			no			Amrit Milk				new	no																	
AMRIT-MISC-001	Amrit Organic Turmeric - 1 kg	High-curcumin Organic Turmeric powder. 100% pure organic turmeric rhizomes. High curcumin content (5-7%). Vibrant golden-yellow color with earthy aroma. No additives | No artificial colors | Stone-ground	in stock			https://amritmilkorganic.com/products/organic-turmeric-1kg		https://amritmilkorganic.com/assets/img/products/premium_turmeric_powder.png	900 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-001	Amrit Milk Organic A2 Gir Cow Milk - 1 L	Pure A2 beta-casein milk from indigenous Desi Gir cows. High nutritional value. 100% pure A2 beta-casein protein. From indigenous Desi Gir cows. Farm-fresh daily delivery. No hormones | No antibiotics | Grass-fed cows	in stock			https://amritmilkorganic.com/products/a2-gir-cow-milk-1l		https://amritmilkorganic.com/assets/img/products/amrit_milk_gir_1l_v2.png	125 INR			no			Amrit Milk				new	no																	
